,post_date,wday,post_topic,post_style,post_tone,post_type,post_reactions,post_shares,post_comments,total_inter
1,17/08/2018,Fri,Sexual Abstinence,Status update,Enact fear,Photo or video,230,24,41,295
2,17/08/2018,Fri,Intimate Relations,Storytelling,Neutral,Text only,63,9,21,93
3,23/08/2018,Thu,Sexual Abstinence,Status update,Neutral,Text only,137,8,20,165
4,10/09/2018,Mon,Sexual Purity,Status update,Enact fear,Text only,128,6,97,231
5,19/09/2018,Wed,Sexual Abstinence,Storytelling,Guilt,Text only,96,29,20,145
6,18/09/2018,Tue,Abuse,Experience sharing,Neutral,Text only,66,4,13,83
7,04/10/2018,Thu,Intimate Relations,Status update,Neutral,Text only,103,7,25,135
8,15/10/2018,Mon,Sexual Purity,Status update,Enact fear,Text only,133,1,46,180
9,17/10/2018,Wed,Sexual Purity,Status update,Neutral,Photo or video,138,6,7,151
10,25/01/2019,Fri,Sexual Abstinence,Status update,Enact fear,Text only,15,1,1,17
11,26/01/2019,Sat,Sexual Purity,Status update,Guilt,Text only,231,22,28,281
12,28/01/2019,Mon,Intimate Relations,Status update,Neutral,Text only,97,4,181,282
13,29/01/2019,Tue,Sexual Abstinence,Storytelling,Neutral,Text only,194,14,62,270
14,30/01/2019,Wed,Intimate Relations,Status update,Neutral,Text only,70,8,16,94
15,05/02/2019,Tue,Birth Control and Abortion,Status update,Enact fear,Text only,153,13,115,281
16,05/02/2019,Tue,Sexual Abstinence,Status update,Neutral,Text only,204,6,128,338
17,06/02/2019,Wed,Intimate Relations,Experience sharing,Neutral,Photo or video,47,0,6,53
18,07/02/2019,Thu,Intimate Relations,Status update,Guilt,Text only,54,6,25,85
19,06/02/2019,Wed,Sexual Abstinence,Experience sharing,Neutral,Text only,63,0,10,73
20,07/02/2019,Thu,Intimate Relations,Experience sharing,Neutral,Text only,422,60,62,544
21,07/02/2019,Thu,Intimate Relations,Status update,Enact fear,Text only,31,0,10,41
22,07/02/2019,Thu,Intimate Relations,Storytelling,Neutral,Text only,32,0,6,38
23,08/02/2019,Fri,Sexual Abstinence,Status update,Neutral,Text only,86,1,21,108
24,08/02/2019,Fri,Sexual Purity,Status update,Neutral,Text only,27,0,6,33
